store_id,year,month,population,location_code,id,age,gender,race,marital_status,education,division,tenure,training_status,jlevel,salary,absent,turnover,persuasion_skills,commitment,respect,development,goal,perf_feedback,perf_fair,reward_fair,work_life,competition,culture_fit,extraversion,conscientiousness,emotion_stability,agreeable,openness,cognitive_ability,structured_interview,business_rating,behavior_rating,sales_skills
1,2019,10,114,447,2188,34,Male,W,N,Post-secondary degree,Home Appliances,7.50,Y,1,52686.16,10,2,2,3,3,2,1,1,2,2,1,2,3,1,2,2,3,2,2,4,2,2,3
1,2019,10,114,447,2350,40,Male,W,N,High school diploma or equivalent,Cellphones and Accessories,6.60,N,1,56991.44,19,3,3,1,1,2,2,1,2,5,3,3,1,1,3,3,2,4,1,4,2,2,2
1,2019,10,114,447,661,21,Female,W,N,Some college,Cellphones and Accessories,6.90,N,1,48395.48,15,3,1,4,1,1,1,1,2,3,3,4,2,4,4,1,1,2,4,4,3,2,3
1,2019,10,114,447,5937,44,Female,NW,N,Post-secondary degree,Office Products,7.20,Y,2,58628.83,13,4,2,5,4,2,1,1,1,3,1,4,4,3,3,2,5,1,1,3,2,2,2
1,2019,10,114,447,5734,40,Female,NW,Y,Post-secondary degree,Cellphones and Accessories,10.30,N,2,76184.26,18,4,5,1,2,1,2,1,3,3,1,4,3,5,3,4,1,4,3,3,3,3,3
1,2019,10,114,447,8395,25,Male,NW,Y,Some college,Cellphones and Accessories,3.50,Y,1,41285.09,34,5,1,1,2,1,1,1,1,1,1,3,2,3,2,3,2,2,2,1,1,1,3
1,2019,10,114,447,9670,49,Female,W,Y,Some high school,Home Appliances,9.90,N,4,72470.42,20,4,3,3,2,1,1,1,1,1,1,2,3,3,4,4,2,4,2,5,3,1,2
1,2019,10,114,447,802,33,Female,W,N,Some high school,Computer & Electronics,4.20,Y,1,52106.76,9,2,3,3,1,1,1,3,1,3,3,3,4,4,1,1,3,3,3,1,1,3,1
1,2019,10,114,447,5304,44,Male,W,Y,Some college,Cellphones and Accessories,9.70,Y,4,76760.92,11,1,3,4,3,1,1,1,4,5,2,4,2,4,5,3,4,2,3,3,3,3,3
1,2019,10,114,447,9549,44,Male,NW,Y,High school diploma or equivalent,Computer & Electronics,9.90,N,1,50113.29,18,3,3,4,2,1,1,1,1,2,3,4,3,2,2,3,2,5,3,3,2,2,3
1,2019,10,114,447,7811,27,Female,W,N,High school diploma or equivalent,Office Products,5.20,Y,2,71435.32,21,3,2,3,1,2,2,1,1,1,1,3,2,4,2,2,3,2,3,3,2,2,3
1,2019,10,114,447,3591,23,Male,W,N,Some college,Home Appliances,7.70,Y,1,62387.57,7,3,4,3,1,2,2,1,1,4,3,3,3,2,4,1,1,4,3,3,2,2,1
1,2019,10,114,447,7165,38,Male,W,N,Some college,Computer & Electronics,8.50,Y,1,49890.58,6,1,4,2,4,2,1,1,3,4,5,1,2,1,3,1,2,4,2,1,1,3,1
1,2019,10,114,447,9588,23,Male,NW,Y,High school diploma or equivalent,Office Products,4.40,Y,1,44057.44,19,5,1,1,1,2,1,3,1,2,1,3,3,3,3,3,2,1,2,3,2,1,3
1,2019,10,114,447,4872,32,Female,W,Y,Some college,Computer & Electronics,6.70,N,1,26908.68,21,3,3,4,1,1,2,2,3,2,4,1,3,5,2,2,2,5,3,5,3,3,3
