store_id,locnearestformat,locnearestany,locimargintarget,locimarginactual,locomargintarget,locomarginactual,locrevenuetarget,locrevenueactual,locgmargintarget,locgmarginactual,locexpensetarget,locexpenseactual,locebitdatarget,locebitdaactual,minwage,unemployed,edu14,year,month,yrmo,population,Voluntary_turnover,Layoff,Hiring,unitmonth_female,unitmonth_ftpt,unitmonth_hrlyrate,unitmonth_white,tenure,rmgrwhite,rmgrfemale,
1,52.87,9.67,406773,303816,32160,24986,999074,1034112,438934,328802,247841,270318,191093,58484,14.16,5.66,0.47,2018,1,648,97,3.09,0.00,0.00,0.62,0.40,13.08,0.67,64.92,0.68,0.48,
1,52.87,9.67,344709,331901,32392,45449,1194234,1339216,377101,377350,267488,263725,109612,113625,14.16,5.66,0.47,2018,2,649,95,2.11,0.00,1.05,0.61,0.39,13.15,0.67,66.83,0.72,0.47,
1,52.87,9.67,474027,347341,40573,36388,1536688,1378806,514600,383729,316018,307315,198581,76414,14.16,5.66,0.47,2018,3,650,98,5.10,0.00,1.02,0.59,0.39,13.20,0.68,66.26,0.69,0.46,
1,52.87,9.67,387496,306874,36476,27822,1164879,1107992,423973,334696,251646,250027,172326,84669,14.16,5.66,0.47,2018,4,651,99,2.02,0.00,6.06,0.60,0.36,13.11,0.67,63.52,0.70,0.47,
1,52.87,9.67,366391,313041,53804,35967,1288583,1364970,420196,349008,283237,294655,136958,54353,14.16,5.66,0.47,2018,5,652,98,4.08,0.00,1.02,0.58,0.38,13.28,0.67,64.93,0.69,0.47,
1,52.87,9.67,381728,263349,37670,18742,1430590,1483380,419398,282091,310847,346916,108550,-64825,14.16,5.66,0.47,2018,6,653,98,2.04,0.00,5.10,0.60,0.36,13.34,0.65,61.05,0.71,0.46,
1,52.87,9.67,353599,436624,29724,21305,1096260,1131064,383323,457929,266298,283700,117024,174229,14.16,5.66,0.47,2018,7,654,100,2.00,0.00,3.00,0.58,0.34,13.15,0.66,58.43,0.74,0.45,
1,52.87,9.67,306893,165084,32422,19860,1208361,1110395,339315,184944,288003,278203,51311,-93259,14.16,5.66,0.47,2018,8,655,109,4.59,0.00,7.34,0.58,0.31,13.12,0.66,52.22,0.75,0.45,
1,52.87,9.67,391239,304546,34186,17121,1329403,1248329,425425,321667,310656,316528,114768,5139,14.16,5.66,0.47,2018,9,656,110,0.91,0.00,5.45,0.58,0.30,13.10,0.66,51.06,0.75,0.44,
1,52.87,9.67,342925,258815,30897,22466,1013169,917380,373822,281281,266128,245450,107694,35786,14.16,5.66,0.47,2018,10,657,119,3.36,0.00,2.52,0.56,0.28,13.06,0.68,46.51,0.73,0.37,
1,52.87,9.67,517805,327816,68211,38279,1879348,1369694,586017,366095,362243,347284,223773,18811,14.16,5.66,0.47,2018,11,658,120,10.00,0.00,1.67,0.56,0.27,13.06,0.69,45.68,0.72,0.38,
1,52.87,9.67,878471,560758,70395,41538,2660507,1976277,948867,602296,408285,384361,540581,217935,14.16,5.66,0.47,2018,12,659,109,8.26,0.00,0.00,0.59,0.30,13.23,0.67,48.80,0.71,0.37,
1,52.87,9.67,487180,335394,27339,20628,926515,953646,514519,356022,247926,239284,266593,116738,14.28,4.95,0.46,2019,1,660,102,7.84,0.00,3.92,0.62,0.31,13.19,0.65,52.52,0.70,0.37,
1,52.87,9.67,365432,326085,34837,22820,1270938,1115818,400270,348905,268430,244952,131840,103927,14.28,4.95,0.46,2019,2,661,100,5.00,0.00,6.00,0.60,0.33,13.28,0.66,52.21,0.71,0.36,
1,52.87,9.67,421325,349886,40739,23867,1361223,1190140,462065,373753,281163,273785,180902,99968,14.28,4.95,0.46,2019,3,662,101,3.96,0.00,0.99,0.59,0.33,13.53,0.68,52.53,0.95,0.33,
1,52.87,9.67,323216,267196,33572,12555,1063342,897920,356789,279751,238956,234830,117833,44921,14.28,4.95,0.46,2019,4,663,101,6.93,0.00,4.95,0.58,0.32,13.33,0.69,52.37,0.96,0.35,
1,52.87,9.67,376187,254208,51293,30608,1352396,1068598,427481,284816,279721,265927,147760,18889,14.28,4.95,0.46,2019,5,664,102,3.92,0.00,1.96,0.57,0.33,13.63,0.69,52.33,0.97,0.13,
1,52.87,9.67,367312,259034,42744,21795,1439685,1104843,410056,280829,319786,289303,90270,-8519,14.28,4.95,0.46,2019,6,665,111,5.41,0.00,7.21,0.57,0.30,13.59,0.67,46.97,0.97,0.12,
1,52.87,9.67,350538,222699,31019,24694,1111102,907060,381557,247393,261643,241297,119913,6096,14.28,4.95,0.46,2019,7,666,113,4.43,0.00,5.31,0.58,0.30,13.68,0.64,46.59,0.98,0.30,
1,52.87,9.67,281129,253032,33546,21377,1112281,982591,314675,274409,253517,261317,61157,13092,14.28,4.95,0.46,2019,8,667,114,4.39,0.00,4.39,0.57,0.30,13.65,0.64,44.37,0.98,0.34,
1,52.87,9.67,386527,254211,35021,27271,1295620,1244658,421549,281482,300389,312173,121160,-30736,14.28,4.95,0.46,2019,9,668,120,3.33,0.00,10.83,0.55,0.28,13.57,0.65,41.93,0.98,0.36,
1,52.87,9.67,303985,258658,26170,25915,960437,866941,330155,284573,249682,249427,80473,35146,14.28,4.95,0.46,2019,10,669,114,3.51,0.00,0.88,0.54,0.28,13.62,0.66,42.13,0.98,0.35,
2,17.18,13.05,480079,346324,57224,30560,1282204,1148407,537304,376884,322856,306615,214447,70269,14.16,5.66,0.47,2018,1,648,114,7.90,0.00,1.75,0.62,0.29,13.42,0.54,45.88,0.40,0.75,
2,17.18,13.05,353546,368123,42740,45126,1356253,1382004,396287,413249,326570,318908,69716,94341,14.16,5.66,0.47,2018,2,649,110,2.73,0.00,3.64,0.59,0.27,13.33,0.53,45.07,0.45,0.83,
2,17.18,13.05,503162,433315,50221,50996,1694983,1636964,553383,484311,373460,381320,179923,102991,14.16,5.66,0.47,2018,3,650,112,12.50,0.00,1.79,0.59,0.26,13.29,0.51,45.07,0.46,0.83,
2,17.18,13.05,460426,377398,42510,34866,1396882,1273950,502936,412264,306937,318076,195999,94188,14.16,5.66,0.47,2018,4,651,104,7.69,0.00,0.96,0.60,0.28,13.35,0.47,45.83,0.46,0.82,
2,17.18,13.05,415549,435517,60559,38533,1529545,1610891,476108,474050,356276,373647,119831,100403,14.16,5.66,0.47,2018,5,652,104,1.92,0.00,8.65,0.58,0.28,13.31,0.45,45.19,0.47,0.82,
2,17.18,13.05,442228,388332,60902,40352,1759011,1798162,503131,428684,381715,410269,121416,18415,14.16,5.66,0.47,2018,6,653,109,2.75,0.00,5.51,0.59,0.27,13.21,0.43,43.56,0.46,0.83,
